D,L,M,M*L,variant,method,iteration,test_loss_diff,test_loss_diff_std,train_loss_diff,train_loss_diff_std
10,4,8,32,single_source_M,dropout,20,0.009025097,0.0034747345,0.055781137,0.028626923
10,4,8,32,single_source_M,dropout,21,0.010738468,0.004245417,0.016226947,0.012309308
10,4,8,32,single_source_M,dropout,22,0.01209904,0.004867412,0.026875293,0.014583634
10,4,8,32,single_source_M,dropout,23,0.013112986,0.0056099636,0.04883655,0.02516707
10,4,8,32,single_source_M,dropout,24,0.014695143,0.005634992,0.027944636,0.017329145
10,4,8,32,single_source_M,dropout,25,0.017092705,0.0060958485,0.06394011,0.043506097
10,4,8,32,single_source_M,dropout,26,0.01905731,0.00644888,0.05384625,0.027442256
10,4,8,32,single_source_M,dropout,27,0.022000302,0.007991841,0.07352711,0.044210944
10,4,8,32,single_source_M,dropout,28,0.025981009,0.0077883056,0.08850838,0.023684748
10,4,8,32,single_source_M,dropout,29,0.031742357,0.010970288,0.0932268,0.015698629
10,4,8,32,single_source_M,dropout,30,0.0366778,0.013764103,0.03926847,0.014961614
10,4,8,32,single_source_M,dropout,31,0.03918718,0.01337891,0.122902706,0.049880587
10,4,8,32,single_source_M,dropout,32,0.040914614,0.012408908,0.05275038,0.042454578
10,4,8,32,single_source_M,dropout,33,0.041792106,0.011591231,0.14433102,0.07099688
10,4,8,32,single_source_M,dropout,34,0.046509154,0.0087485965,0.086092085,0.06413252
10,4,8,32,single_source_M,dropout,35,0.04830011,0.0067679305,0.088607065,0.07255048
10,4,8,32,single_source_M,dropout,36,0.052886866,0.009898583,0.026049595,0.013401675
10,4,8,32,single_source_M,dropout,37,0.051639874,0.010370813,0.08923145,0.06454477
10,4,8,32,single_source_M,dropout,38,0.05142975,0.009083039,0.084274516,0.03664212
10,4,8,32,single_source_M,dropout,39,0.04951151,0.010640803,0.12826487,0.091554455
10,4,8,32,single_source_M,dropout,40,0.051436435,0.009640288,0.034610115,0.0271683
10,4,8,32,single_source_M,dropout,41,0.047493447,0.012658971,0.14930502,0.08576359
10,4,8,32,single_source_M,dropout,42,0.045574557,0.014589885,0.06930496,0.06487684
10,4,8,32,single_source_M,dropout,43,0.042389978,0.016591772,0.10446689,0.09250321
10,4,8,32,single_source_M,dropout,44,0.038101714,0.015539759,0.16688958,0.0909872
10,4,8,32,single_source_M,dropout,45,0.03324426,0.015401378,0.15653715,0.12064308
10,4,8,32,single_source_M,dropout,46,0.028339207,0.019182838,0.08160477,0.072776414
