D,L,M,M*L,variant,method,iteration,test_loss_diff,test_loss_diff_std,train_loss_diff,train_loss_diff_std
10,4,8,32,full_unit_dropout,dropout,15,0.005934405,0.0024018176,0.034047246,0.01399706
10,4,8,32,full_unit_dropout,dropout,16,0.006564689,0.0026247415,0.03414484,0.015574901
10,4,8,32,full_unit_dropout,dropout,17,0.006863153,0.0025194674,0.03689436,0.030994369
10,4,8,32,full_unit_dropout,dropout,18,0.00785234,0.0034231422,0.04690721,0.03585376
10,4,8,32,full_unit_dropout,dropout,19,0.0073885918,0.0033520246,0.023594368,0.026883667
10,4,8,32,full_unit_dropout,dropout,20,0.006926286,0.0038184265,0.038659774,0.02582144
10,4,8,32,full_unit_dropout,dropout,21,0.0074763657,0.0040930286,0.048495196,0.020959001
10,4,8,32,full_unit_dropout,dropout,22,0.0076857926,0.0053045675,0.06327703,0.038034078
10,4,8,32,full_unit_dropout,dropout,23,0.008297205,0.0064524515,0.037619285,0.01158438
10,4,8,32,full_unit_dropout,dropout,24,0.009524966,0.0074219382,0.04212861,0.045679502
10,4,8,32,full_unit_dropout,dropout,25,0.010652984,0.007642914,0.027672302,0.0070886547
10,4,8,32,full_unit_dropout,dropout,26,0.012916923,0.008586757,0.065241866,0.037013914
10,4,8,32,full_unit_dropout,dropout,27,0.0142546175,0.009928534,0.02726357,0.024339866
10,4,8,32,full_unit_dropout,dropout,28,0.015480357,0.0104417885,0.05360207,0.03557774
10,4,8,32,full_unit_dropout,dropout,29,0.01870712,0.010233863,0.095440045,0.043693483
10,4,8,32,full_unit_dropout,dropout,30,0.021148825,0.010359901,0.06389204,0.03340561
10,4,8,32,full_unit_dropout,dropout,31,0.023507422,0.010207092,0.065153845,0.062381588
10,4,8,32,full_unit_dropout,dropout,32,0.027866328,0.010061826,0.037899286,0.04311711
10,4,8,32,full_unit_dropout,dropout,33,0.030772448,0.012400722,0.08941196,0.062103692
10,4,8,32,full_unit_dropout,dropout,34,0.031899422,0.011567485,0.06787948,0.06278039
10,4,8,32,full_unit_dropout,dropout,35,0.032618094,0.013116329,0.08367823,0.06157382
10,4,8,32,full_unit_dropout,dropout,36,0.034133703,0.014216544,0.04932962,0.027019948
10,4,8,32,full_unit_dropout,dropout,37,0.032607786,0.014454952,0.059569836,0.022386383
10,4,8,32,full_unit_dropout,dropout,38,0.029478163,0.01443234,0.108561374,0.039629076
10,4,8,32,full_unit_dropout,dropout,39,0.028250933,0.015260543,0.07791098,0.064226
10,4,8,32,full_unit_dropout,dropout,40,0.026704783,0.016967796,0.07783099,0.045776073
10,4,8,32,full_unit_dropout,dropout,41,0.02383852,0.016553428,0.08643564,0.07293861
10,4,8,32,full_unit_dropout,dropout,42,0.02479729,0.013501105,0.094854996,0.10186224
10,4,8,32,full_unit_dropout,dropout,43,0.027052391,0.013230712,0.10022102,0.094326206
10,4,8,32,full_unit_dropout,dropout,44,0.025538106,0.0091729835,0.039684184,0.030128283
10,4,8,32,full_unit_dropout,dropout,45,0.024902368,0.008557957,0.05176077,0.06366802
10,4,8,32,full_unit_dropout,dropout,46,0.014777159,0.011264299,0.046231527,0.03695968
10,4,8,32,full_unit_dropout,dropout,47,0.012139362,0.009233755,0.034377713,0.02994074
10,4,8,32,full_unit_dropout,dropout,48,0.017109359,0.0107136555,0.060916327,0.04769245
10,4,8,32,full_unit_dropout,dropout,49,0.016099822,0.007902093,0.0468237,0.03994835
10,4,8,32,stochastic_depth,dropout,0,0.0002879858,0.00021449021,0.0139914155,0.010829673
10,4,8,32,stochastic_depth,dropout,1,0.00024284124,9.754663e-05,0.011422873,0.0078948615
10,4,8,32,stochastic_depth,dropout,2,0.00014195443,8.272144e-05,0.01507436,0.0049073137
10,4,8,32,stochastic_depth,dropout,3,0.00048365592,0.00021495073,0.012426699,0.009065861
10,4,8,32,stochastic_depth,dropout,4,0.00039198398,0.00040604544,0.02556473,0.009787653
10,4,8,32,stochastic_depth,dropout,5,0.00035586357,0.00041389576,0.02719078,0.015367173
10,4,8,32,stochastic_depth,dropout,6,0.00047037602,0.00027765305,0.009904003,0.0070465663
10,4,8,32,stochastic_depth,dropout,7,0.000545609,0.00022014594,0.02000693,0.014199487
10,4,8,32,stochastic_depth,dropout,8,0.00056322815,0.0003870603,0.02109648,0.010138026
10,4,8,32,stochastic_depth,dropout,9,0.001043415,0.000865878,0.035319924,0.010665293
10,4,8,32,stochastic_depth,dropout,10,0.0012602567,0.0009638065,0.038020898,0.020025373
10,4,8,32,stochastic_depth,dropout,11,0.0013980627,0.001500674,0.03179381,0.015617628
10,4,8,32,stochastic_depth,dropout,12,0.0017615557,0.001627983,0.025653064,0.0067470283
10,4,8,32,stochastic_depth,dropout,13,0.0020475269,0.0018969318,0.055129148,0.021101069
10,4,8,32,stochastic_depth,dropout,14,0.0023757338,0.002027492,0.03573922,0.03442271
10,4,8,32,stochastic_depth,dropout,15,0.0031572818,0.0026869075,0.032313216,0.014386012
10,4,8,32,stochastic_depth,dropout,16,0.0041219117,0.0027042155,0.04083396,0.014521192
10,4,8,32,stochastic_depth,dropout,17,0.0050720572,0.0027864755,0.048504114,0.033204257
10,4,8,32,stochastic_depth,dropout,18,0.0067022205,0.0027185178,0.026724577,0.019160485
10,4,8,32,stochastic_depth,dropout,19,0.008125412,0.0033147484,0.02669698,0.027844694
10,4,8,32,stochastic_depth,dropout,20,0.009179604,0.0035515607,0.07248868,0.042899046
10,4,8,32,stochastic_depth,dropout,21,0.011294603,0.0036929275,0.03480177,0.013697394
10,4,8,32,stochastic_depth,dropout,22,0.012963081,0.004203737,0.04112209,0.03062767
10,4,8,32,stochastic_depth,dropout,23,0.015819024,0.0058185994,0.04475216,0.018299825
10,4,8,32,stochastic_depth,dropout,24,0.01988194,0.008026646,0.08132188,0.04568621
